dialogue_prepared,summary_prepared,generated_summary
"Amelia: What is your favourite colour?
Emily: Blue, why?
Amelia: I can't tell you
Emily: A surprise? =)
Amelia: Sort of... Can't tell you anything more
Amelia: Sorry 
Emily: I'm super curious",Emily's favorite color is blue. Amelia can't talk about the reason behind her question with Emily.,"""I think it's important for us to do something about it,"" he said.

""It's important to us to have a conversation about it.""

Topics: government-and-politics, federal-government, australia, united-states

First posted"
"Josh: Stephen, I think you've accidentaly taken my notebook home
Stephen: wait lemme check
Stephen: nope, I don't see it anywhere
Jack: oh shit, I've got it xDDD I don't even know why
Josh: xDDD ok, no problem, cool I know where it is
Jack: I'll bring it tomorow",Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,"""I think it's important for us to be able to do that,"" he said. ""I think we're going to have to do a lot of things to make sure that we're doing that."""
"Maddie: I'm in Asda, do you need anything?
John: could do with a white bread and some apples 
Maddie: ok. Gala?
John: yes please ta",Maddie will buy a white bread and apples on John's request.,"""I think it's important for us to be able to do that,"" he said. ""I think that's what we need to do.""

He said he would like to see the Legislature pass a bill that would make it easier for people to get health insurance.

""We need to make sure"
"Corbin: Is this the department in charge of school violence?
Dimitri: Yes, it is.
Corbin: I want to report school violence in our school.
Dimitri: Okay. What school are you in?
Corbin: Jungang high school. The student who is victim of the violence is my friend.
Corbin: They are not hitting him any more. But you should help my friend.
Corbin: If they notice I was the one who reported, they will hit me as well.
Dimitri: First, calm down. Give us your phone number. You will be safe.
Corbin: 486-984-324 It is.
Dimitri: Don’t worry. I will call you now, ok?",Corbin reported to the department in charge of school violence that his friend has been beaten.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do this. I'm not going to do that.""

""I think I've got a lot of work to do,"" he added."
"Charlee: I'm in class. Theatre in Portuguese lol
Curtis: Realllly?
Charlee: Yes. One of my subjects at the university that I attend is portuguese theatre. We are preparing a performance
Curtis: What performance is this? Are you devising it?
Charlee: A polish one translated into portuguese
Curtis: Thats quite cool. Who is the writer?
Charlee: Mrożek",Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to get out there and do what I can to help this team win."""
"Phil: Hi. Are you home?
Nancy: Yes. Where are you?
Phil: Still in the shop. 
Nancy: What are you doing there? 
Phil: There are such crowds. Everywhere.
Nancy: Really?
Phil: First, I couldn't find any parking place. Now I'm standing in a gigantic queue.
Nancy: Have you got everything?
Phil: I think so.
Nancy: Oh, I'm sorry. I know you hate it before X-mas.
Phil: Will you make an apple pie? Please? I was passing by a cafe and thought of that immediately. My mouth is watering when I think of that smell.
Nancy: Sure, honey. Of course I will.
Phil: Wonderful! I think I'll be home in an hour.
Nancy: Ok. Waiting for you :-) I've got everything I need for the pie, so it will be in the oven when you arrive :-)
Phil: Thanks, babe! :-*
Nancy: :-*",It took Phil a very long time to do the Christmas shopping but he probably managed to get everything. He will be home in an hour. Phil's apple pie will be in the oven when he arrives.,"""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do. I think we're going to do it.""

He added: ""We've got a lot of work ahead of us. We've got to make sure we"
"Laura: Where are you?
Paul: Almost there.
Laura: Which is?
Paul: Close to the Mac.
Laura: That's so far away!
Paul: 15 mins
Laura: I am not waiting any more, see you some other time.
Paul: Please, wait!
Laura: I've waited 30 minutes, 15 minutes ago you wrote you were almost here. This is too much.
Paul: I am so sorry.
Laura: I am not.",Paul is late for a meeting with Laura and she refuses to wait any longer.,"""I don't know what to say about it,"" he said. ""I'm not sure what to think about it. I don't think it's a good idea.""

He added: ""I think it would be nice to have a little bit more freedom to do what we want to do."""
"Lisa: Is it safe?
Mary: Don't worry. Aquarium is kept in a safe place.
Sarah: He will enjoy it for sure.
Lisa: He was asking for it for ages.
Mary: True, now he is old enough to have it
Sarah: How do we transport that?
Mary: Easy sister, Frank will help us.
Lisa: That's great!
Sarah: I can't wait to see his face.
Lisa: Me too!
Mary: Good teamwork you all.
Sarah: Okay, I will call you later
Lisa: See you",Frank will help Sarah and Mary transport the aquarium that is a gift for someone.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take a lot of time. I think it will take a long time."""
"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)",Eric and Rob are going to watch a stand-up on youtube.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do that.""

He added: ""I think it's going to take some time. I think"
"Inez: My dears, our evening inspired me to create this group conversation to plan further Food Evenings :)
Inez: This is my proposal for the next one: <file_photo>
Alicja: Wow, I will actually feel happy going to work thanks to this :D
Gosia: Happy going to work and even happier leaving it haha
Alicja: Just too bad that the time between 9 and 17 will be wasted :P
Patrycja: I really liked our evening, even the pizza was delicious :) How did you girls like it?
Inez: I loved it, Gosia really chose a great place :)
Gosia: I am an expert at eating :D
Alicja: Have you been to this restaurant Inez sent?
Gosia: No, it is quite new. But I heard good opinions! :D
Patrycja: And it fits with our theme of exploring world cuisines :)
Alicja: First Italy, now Korea! :D
Inez: So when could we do this again?
Gosia: I am not sure, but we have to before the holidays!
Patrycja: We should have less work in two weeks, we could go again on Wednesday?
Alicja: Sounds good to me!
Inez: Me too :D",Patrycja and Inez enjoyed the Italian evening. Gosia chose a great place. Alicja hasn't been to the new restaurant. They all want a Korean evening on Wednesday in two weeks time.,"""I think it's important for us to be able to do that,"" he said. ""I think we're going to have to do a lot of things to make sure we do that.""

He added: ""We're not going to be in a position where we can't do that. We're"
"Holt: ladies, an important question. what to get my sis for bday?
Darla: how old?
Holt: 21
Olive: can't be too personal
Treena: cosmetics maybe?
Zula: i'd get her DVDs or book series. always works
Holt: you might be right. set of DVDs and some cosmetics?
Olive: we'd all be happy i guess if you know what she likes","Holt asks his girlfriends some advice on a present for his sister on her 21st birthday. Treena recommends cosmetics, whereas Zula suggests DVDs or book series.","""I think it's important for us to do something about it,"" he said. ""I think we need to do a lot of things. We need to make sure that we're doing everything we can to prevent this from happening again.""

He added: ""We need to be very clear about what we"
"Shaldona: WE ARE GONNA GET MARRIED ❤️❤️
Shaldona: <file_others>
Shaldona: This is our mobile inviation for our wedding.
Shaldona: Invitation*
Piper: Hey. You haven’t sent me any messages for a few years.
Piper: And now you are sending me your wedding invitation 
Piper: THROUGH MESSENGER?
Shaldona: .....
Shaldona: Well..
Shaldona: I had no enough time to meet everybody and give this in person.
Shaldona: Hope you understand.
Piper: If you don't have time to give the invitation card in person but expect people go to your wedding
Piper: Shaldona, if so, you are too greedy.","Shaldona sends mobile invitations to her wedding, as she has no time to give them in person.","""I think it's important for us to be able to do that,"" he said. ""I think we're going to have to do a lot of things to make sure we do that.""

He added: ""We're not going to be in a position where we can't do things. We're"
"Hannah: Are you watching the game?
James: No I am head to work : ( 
Hannah: Oh okay",James is heading to work so he's not watching the game.,"""I think it's important for us to do what we can to make sure that we're doing the right thing,"" he said. ""We're not going to be able to do that. We're going to have to do a lot more.""

He added: ""We need to do more. We"
"Martin: I won two cinema tickets!
Aggie: oh cool, how come?
Martin: online. on fb, the movie mag organized it
Aggie: so what did you do
Martin: just write a short review and that's it
Aggie: well done :) so what and when. and where?
Martin: the new film with Redford
Aggie: i guess i heard sth
Martin: it's pretty cool i heard. till the end of the week
Aggie: sounds good. we'll find time XD",Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to go out there and do it.""

He added: ""I"
"Gary: Hey, don't forget about Tom's bday party!
Lara: I won't! What time should I show up?
Gary: Around 5 pm. He's supposed to be back home at 5:30, so we'll have just enough time to prep things up.
Lara: You're such a great boyfriend. He will be so happy!
Gary: Yep, I am :)
Lara: So I'll just pick up the cake and get the balloons...
Gary: Thanks, you're so helpful. I've already paid for the cake.
Lara: No problem, see you at 5 pm!
Gary: See you!",It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take some time. I think it will take a lot of time. But I"
"Tina: Hi, darling? Are you ok?
Steve: Hi, babe. I'm fine. You?
Tina: OK :-) Love you :-*
Steve: Love you, too.
Tina: How about pasta for dinner?
Steve: Sounds great!
Tina: With broccoli, ham, cheese and cream?
Steve: Scrumptious. 
Tina: Your favourite.
Steve: Indeed.
Tina: But there is a snag.
Steve: Too perfect to be true?
Tina: It's not about that. We'd need to do some shopping after work.Can you handle it yourself?
Steve: Can we handle it together? You know how scatterbrained I am when it comes to shopping lists.
Tina: I do know!
Steve: Together?
Tina: Fine. Will you be leaving work on time?
Steve: Guess so. I don't expect any problems.
Tina: Ok. Let's meet in the car park, shall we? 
Steve: Sure. 
Tina: Miss you :-*
Steve: Miss you, too :-*
Tina: See you later :-)",Tina and Steve are having pasta for dinner. They'll meet in the car park after Steve finishes work. They'll do the shopping together.,"""I think it's important for us to be able to do that,"" he said. ""I think we're going to have to do a lot of things to make sure that we're doing those things."""
"Ursula: Haha I got a 93 on my French exam
Bob: Well done girl!
Jana: Wow 
Jana: How did u manage to do that
Ursula: I just studied hard for it
Jana: omg
Jana: French is so hard 
Vaughn: I got a 65
Vaughn: I didn't study for it haha
Ursula: At least you passed
Vaughn: Congrats!","Ursula got 93 on her French exam. Vaughn got 65, but still passed.","""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do that.""

He added: ""I think it's going to take some time. I think"
"David: Hi victor how are you?
Victor: i am fine thanks, what about you?
David: very well thanks, i heard you have taken over Chris's company? is that true?
Victor: Yes he was under huge debt, but he is still working as Director
David: That is good, your running company at its old premises?
Victor: No i sold off the office and accommodated them in my office, you know there is a lot of free space.
David: yes i know. thats good to hear i was worried about Chris but really appreciate what you are doing.
Victor: he was not willing to get help so i thought to do it this way.. and he can own it back anytime he wants
David: God bless you
Victor: Thanks, hows your business?
David: its good but not too much work these days..
Victor: yes market is very slow..
David: yes expecting it to get better by the end of the year.
Victor: really? we can hope for the best
David: yes.","Victor took over Chris's company, which was under a huge debt. He sold the office and did some changes but Chris still works there as Director. David's business goes very slow but he expects it to get better by the end of the year.","I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

I think it would be nice to have a system that would allow people to have access to all of the information they need to make informed decisions about their lives. I think that would be"
"Avril: Hi!
Avril: Have you got plans for the weekend?
Frank: Hello, no, I don't. 
Frank: I mean I have some things to do, but nothing special. 
Avril: Do you like mushroom picking?
Frank: U serious?
Avril: :D :D :D
Avril: Of course not! ^^
Avril: But i'm going to see horse racing. U comin'?
Frank: Now, u r talking!
Frank: Sure I'll come with u!",Frank will join Avril at the races at the weekend.,"""I think it's important for us to make sure that we're doing everything we can to ensure that we have the best possible service for our customers,"" he said.

He added: ""We're going to continue to work with our partners to ensure we're providing the best service to our customers."""
"Harry: heyyyy are you there??
Cindy: Yes dear what is it?
Harry: Can you call Ela and tell her i need to talk urgent please pick my call.
Cindy: what happened now? an other fight :O
Harry: please tell her
Cindy: MAN! you guys... am i some kind of a messenger service here?
Harry: PLEASEEEEEEEEE ?
Cindy: ok doing.... but thats the last time.
Harry: Yes like always:P
Cindy: Hate you seriously man.
Harry: Thank you
Cindy: Done you can call her now.",Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

I think it would be nice to have a system that allows you to do things that you don't want to do, but you can't do without it. I don't know if"
"Leah: <fIie_others>
Kristi: What is this?(?_?)
Leah: If you go to this link, you can get 20% discount coupon <3<3<3
Kristi: What coupon is this? (＠_＠;)
Leah: All the items on this online shop. 
Leah: Havent you talked to me that you needed new trainers?
Kristi: You remembered! Yes I did! (*^0^*)
Leah: I have a favor as well_(._.)_
Leah: Put my ID onto the reference code. “Direndia45”∩(·ω·)∩
Kristi: What can you get if I do that?
Leah: I will get some accumulated money for the shopping next time.(*_*)(*_*)(*_*)
Kristi: Alright. (^.^)
Kristi: You smart consumer! (^_-)-☆(^_-)-☆",Kristi needs new trainers. Leah has a link for a discount coupon at an online store.,"""I think it's important for us to be able to do that,"" he said.

""We have a lot of work to do. We have to do it in a way that makes sense to the community.""

Topics: law-crime-and-justice, crime, australia"
"Jeff: Do you know guys anything about the agreement?
Vladimir: the most important is that they decided it's neither a sea nor a lake
Vladimir: so it will have a special legal status
Tanya: and they will completely divide the seabed up
Jeff: sure, it's rich in resources
Donald: yeah, mostly gas and oil
Vladimir: and ""between 80-90% of the world's caviar is sourced from the Caspian""!!!
Jeff: hahaha, right!","In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status. They will also completely divide the seabed up. It's rich in resources, mostly gas and oil.","I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're reading this, you're probably reading this because you're a fan of the show. If you're not a fan, you probably don't care about the show at all"
"Tony: <photo_file>
Amy: Sweet little cat <3
Lucas: Adorable!!",Tony sent a photo of his cat to Amy and Lucas.,"""We're not going to be able to do anything about it,"" he said. ""We're going to have to do something about it.""

He added: ""It's going to take a long time for us to figure out what's going on. It's not something that we can do."""
"Milena: How was the presentation?
Kate: very good
Regina: yes, we had a good feedback
Milena: how many people came to listen to you?
Regina: 3 but we new it will be very cosy, friendly thing
Milena: sometimes a small but interested audience is better than random bored people
Kate: exactly","Kate, Milena and Regina's presentation went well. Three people came to listen to them.","""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take some time. I think it will take a lot of time."
"Jair: Still busy?
Callum: Yes a little sorry
Jair: ok",Callum is still busy.,"""I think it's important for us to do something about it,"" he said. ""I think we need to look at it in a different way.""

He added: ""We need to take a look at what's going on in the world. We need to think about what's happening in our own"
"Maria: Who's gonna be at IMF lecture tomorrow? We can discuss all remaining questions after and do the calculations?
Alexander: I don't attend that class, but it is fine by me to meet
Sarah: I will not be there, sorry. I am working
Martha: So when? We are due on Monday
Martha: That doesn't leave many options
Alexander: On Saturday I already have to meet for another presentation, so my option is Friday afternoon or tomorrow
Sarah: Tomorrow and on Friday I am available from 5pm, during the weekend for the whole day
Lawrence: I am meet after class anytime or make time over the weekend if needed
Sarah: So can we meet tomorrow evening? 17:15?
Alexander: It is fine by me
Lawrence: I will be late, but you can start without me","Maria suggests to meet after the IMF lecture to discuss the presentation which is due on Monday. Maria, Alexander, Martha and Sarah will meet tomorrow at 17:15. Lawrence will be late.","""I don't know what to say about it,"" he said. ""I'm not sure what to think about it. I don't think it's going to be good. I think it will be bad.""

He added: ""I think we're going to have to wait and see what happens."
"Malik: have you heard of that paleo diet?
Malik: i need to lose some weight and i really want to try it
Samantha: i've heard of it but i've also heard about the keto diet
Samantha: AAAAANNNDDDD... i also need to lose weight lol
Malik: what are you talking about?!? lol
Malik: you're so skinny
Samantha: whatever :-)
Malik: should we try one of those together?
Malik: it's always easier when someone's doing it with you
Samantha: YES!!!!
Malik: we can also go for runs together like we used to :-D
Samantha: let's do it!! i'm so pumped!
Malik: so paleo or keto?
Samantha: what's the difference?
Malik: i think they're practically the same, but you can't have dairy on paleo
Samantha: can you have dairy on keto?
Malik: i think you can, i'm no sure though
Samantha: ok let me go online and read more about this
Samantha: and i'll text you back later with more info
Malik: ok
Malik: are you excited??
Samantha: i really am!!!!!!!!! :-D","Malik and Samanta want to lose weight. They will try to keep a diet, keto or paleo, and go for runs together.","I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

I think it would be nice to have a system that allows you to do things that you don't want to do, and that you can do in a way that makes it easier for"
"Natalie: can you send me the recipe for your famous cheesecake, please?
Monica: Sure, just a sec
Monica: <file_photo>
Natalie: Thank you, yummmmmmie <3",Natalie wants Monica's cheesecake recipe.,"""I don't think it's going to happen,"" he said. ""I think it will happen. I don't know what it will be, but I think we're going to have to wait and see.""

He added: ""We're not going to be able to do anything about it."""
"Jim: Hello, welcome to the store, how can I help you
Finn: Hello could you help me track my shippment?
Jim: yes, can you please tell me your order number
Finn: It's 45678
Jim: Thank you, from what I can see your package has left the warehouse and will be delivered to you tommorrow",Jim tracks Finn's package number 45678 which will be delivered to him tomorrow.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

I think it would be nice to see a lot more of this, but it's not going to happen anytime soon. It's going to take a while for it to happen."
"Janet: I am ashamed. Who voted for this pussy? It's your fault.
Alison: Remember the Wizard of Oz? He might have melted.
Nicole: He’s a sissy boy.
Cheryl: RAIN omfg thats so shameful and disrespectful 😡
Buff: Pussy in Chief.
Linda: Trump is selfish and inconsiderate.
Janet: What an embarrassment to our nation and the world!!!
Roz: Where is Elsie? I miss you vomit 😊
Cheryl: WTF EVER trumpola didnt want to mess up his pity full comb over.....
Janet: Trump = snowflake
Linda: Baby. He’s a spoiled brat baby. Nothing about Donald Trump to be proud of or want to defend.
Arlene: HIs hair and makeup would have been ruined!
Roz: Exactly 😊
Leslie: Which adviser, who he doesn't listen to anyway, thought missing this ceremony was a good idea? Shameful!
Eric: What a pussy. We should grab him and kick him to the curb.
Sue: All the other leaders managed to make it, so there is no excuse, for me.
Roz: It's all about the hair.
Sue: afraid the colour of his orange hair would run????
Linda: Never heard of an umbrella :)","Janet, Nicole, Alison, Arlene, Leslie, Ros, Eric and Sue are all complaining about Donald Trump and his absence at the ceremony.","""I think it's important for us to be able to do that,"" he said. ""I think that's what we're going to have to do.""

He added: ""We've got to make sure that we're doing things that are right for the community. We've got a lot of work"
"Lincoln: I think I've broken your toilet seat. :(
Lincoln: I'm so sorry, I'll buy and install a new one.
Hudson: Can't it be fixed?
Hudson: Send me a pic.
Lincoln: <file_photo>
Hudson: Hmm, it seems like you've broken a hinge.
Hudson: I'll try to replace it with a new one and I'll let you know, if it works, ok?
Lincoln: Ok. I'm so sorry. :(
Lincoln: Are you mad at me?
Hudson: No, of course I'm not. You know: shit happens. ;) 
Lincoln: Then maybe at least I'll buy this new hinge?
Hudson: It literally costs pennies.
Hudson: Really, don't worry about this, it's not a big deal. ;)
Lincoln: :)",Lincoln has broken Hudson's toilet seat. Hudson will replace a hinge. Lincoln doesn't have to repay Hudson.,"""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do. I think we're going to get better at it.""

He added: ""We've got a lot of work ahead of us. We've got to get"
"Julia: I mean I like my Instagram. And my Snapchat. Oh and Twitter. And sometimes Facebook.
Gail: So do I. But this doesn't mean I'm addicted. 
Julia: Neither am I. I like looking at photos of my friends and sharing stuff with them. And I think they like it when I post stuff.
Gail: I certainly do. And I like to spy on ppl :)
Julia: Rly?
Gail: Yeah! It's a lot of fun! Like I was spying on Em and turns out she's into some guy from work ;)
Julia: Rly? Intriguing.
Gail: I know! :) and Jessica is thinking about going on diet.
Julia: Wasn't she on one already?
Gail: Nah. Whenever she posts a lot of fitness-related stuff, she's just thinking about, but doing nothing rly. 
Julia: I always thought she was training day and night!
Gail: Nah. That's just how she is. The more she posts, the less she does. Like she had a phase for animal shelters. Remember?
Julia: Yeah. She just wouldn't shut up about it. She posted every single thing she could find on the subject!
Gail: Right. And turned out that was everything she did. Never visited one. Never donated a dime. Never did anything.
Julia: And all the time I thought she was so active and pro-active and charitable. She had me fooled ;)
Gail: U see? Spying on ppl is fun :)
Julia: Speaking of which, did u spy on me?
Gail: No, y would I?
Julia: It's fun?
Gail: Oh no! Don't get me wrong! We talk all the time, so no need to spy on u ;)
Julia: Gr8.
Gail: Besides ur pretty straightforward.
Julia: What do u mean?
Gail: When ur eating, u post food. When ur training, u post fitness materials or photos. When ur relaxing, u post a bunch of stuff.
Julia: I know :) that's y ppl like what I do, 'caus I genuine :)
Gail: Yeah...
Julia: What's that supposed to mean?
Gail: Hillary thinks u overdo it and have no life in real life.
Julia: That bitch!
Gail: I know!",Jessica posts a lot regarding subjects she does nothing about in reality. Julia posts in a more genuine way. But Hillary thinks she does it to death and lacks real life.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do that.""

He added: ""I think it's going to take some time. I think"
"Oli: Theres a car accident 
Katie: Where? 
Oli: On circle drive
Oli: I tried to get to the Circle Mall 
Katie: Oh no 
Pavel: Its on the news now 
Pavel: Theres no deaths 
Katie: Thank god 👼","There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.","""I think it's important for us to make sure that we're doing everything we can to ensure that we have the best possible customer experience for our customers,"" he said.

He added: ""We're going to continue to work with our partners to ensure our customers are getting the best experience possible."""
"Jeff: Should we go to the village party?
Lia: I'm too tired after hiking
Mico: I'd like to go, there may be some hot boys!
Lia: I doubt
Jim: like a real village boy?
Jim: who doesn't even speak English?
Mico: yes, the dummer, the better
Jim: haha, stupid fucks good, they say
Mico: I confirm!
Lia: not my cup of tea
Mico: I'll go there, who wants to join?
Jeff: I'll go as well
Mico: wanna drive?
Jeff: so you could drink?
Mico: would be nice, hahah
Jeff: not excited, but ok
Mico: thanks!",Mico and Jeff will go to the village party. Jeff will drive.,"""I don't think it's going to happen,"" he said. ""I think it will happen. I don't know what it will be, but I think we're going to see a lot more of it.""

He added: ""It's not going to be easy. It's not easy to"
"Finn: Hey
Zadie: Hi there! What's up?
Finn: All fine. You? 
Zadie: Not bad, thanks 
Finn: Look, I was thinking of going to this neighborhood called Elephant and Castle tomorrow, it's apparently full of Latin American stuff. Fancy joining? 
Zadie: Sure! But what's ""stuff""? 😂
Finn: lol So apparently it's a place were random people from ""Latin America"" (meaning fuck knows which countries) started running small businesses and restaurant, and a nice little community was formed
Zadie: Oh cool 
Finn: Then capitalism came and it's all going to be demolished soon, so it's like the last chance to go
Zadie: What a shame :( Yeah, I haven't had Latin American 😂 food for ages so I'm totally up for it
Finn: Can't wait to taste this cuisine of unspecified Latino origin lol
Zadie: 😂😂😂
Finn: But we can specify time and place if and only if you wish 
Zadie: I might be tempted to lol I'd say early evening, 2-ish?
Finn: Yeah, that's fine by me. So most of the places we want to visit are in this Elephant and Castle shopping centre. Shall I see you at the main entrance, wherever that is 
Zadie: 2 o'clock at unspecified main entrance then? Sounds good to mw
Finn: Yer
Zadie: Cool, see you there! And thanks so much for remembering about me 💜💜💜
Finn: Thanks for saying yes to such an ill-defined plan lmao 
Zadie: Ha ha You know I love those
Finn: See you tomorrow then 
Zadie: Yep Call me if you get lost
Finn: I will I will 🤙 byeeee 
Zadie: Toodles",Finn and Zadie are going to Elephant and Castle tomorrow at 2. They will meet at the main entrance.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're not sure what you're talking about, here are some things you should know:

1. If you're going to do something, you have to do it."
"Lisa: I have to clean the house.
Bob: Yes, it's very dirty.
Lisa: You can help me.
Bob: Why me?
Lisa: Because you helped make it dirty.
Bob: What do you want me to do?
Lisa: I want you to clean the bathroom.
Bob: Oh, that's easy.
Lisa: Clean the sink, the tub, the counter, and the toilet.
Bob: That's a lot of work.
Lisa: Tell me when you finish.
Bob: I don't think so. You'll just give me more work.","Bob is going to help Lisa clean the house, he will clean the bathroom.","""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do.""

He added: ""It's important to us that we have the resources to do what we need to do. I think we're going to do it."""
"Mario: I’ve landed in every airport in Europe today - completely whacked out dude.
Klara: Where are you now?
Mario: Waiting in Luxembourg now.
Eddie: Have fun dude.
Moe: Only because you love flying so much 😉
Mario: weather was good for flying everywhere 🙂 Otherwise it would have been trains everywhere 🙂
Moe: Mario be safe bro
Mario: You too bro 🙂",Mario is waiting on the airport in Luxemburg now.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do that.""

He added: ""I think it's going to take some time. I think"
"Violet: hi! :)
Violet: do you know any good waxing salon in the neighbourhood?
Violet: i'm going on vacation and i'm as hairy as a gorilla :o XD
Paisley: waxing? wow, girl, you're brave :p
Paisley: i've been in a waxing salon once and i'm not going back
Paisley: waxing is painful af
Violet: was it that bad?
Paisley: leg waxing was ok-ish, but bikini... jesus
Paisley: i was bleeding so fckin hard
Paisley: blood was EVERYWHERE
Violet: !!!
Violet: i was going to get brazilian waxing, but now i'm scared
Paisley: that's extreme :o
Paisley: if i were you, i'd start from leg waxing or sugaring
Paisley: but why won't you just shave down there?
Paisley: ingrown hairs?
Violet: yup
Violet: i use scrubs and moisturize my skin almost every day but it's still bad
Violet: i mean REALLY BAD, i look like a freaking chicken with all these razor bumps
Paisley: try shaving with the grain
Paisley: it helped with my ingrows
Violet: i've tried everything
Violet: i just need to man up and make an appointment
Paisley: good luck, then ;)
Violet: thanks",Violet will make an appointment at a waxing salon. Home methods don't work for her.,"""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do.""

He added: ""It's important to us to make sure that we're doing things that are right for our community.

""We've got to"
"Joshua: Hi sister, when will you be arriving
Sarah: i will reach New York this coming Thursday.
Joshua: That's great. See you then.. I will be waiting for my gift
Sarah: yeah sure.. hahaha",Sarah will arrive to New York on Thursday. Joshua expects to get a gift.,"""I don't know what to say about it,"" he said. ""I'm not sure what to think about it. I don't think it's a good thing. I think it is a bad thing.""

He added: ""I think it would be nice if we could do something about it."""
"Mark: So, we've got our where and when. Package tour or self-organised?
Anna: Package. More convenient.
George: Self-organised. Cheaper.
Julia: Do we need a 5* hotel? MAybe let's choose one of the cheaper options from a tour operator?
Mark: Actually, not a bad idea. That'll be both cheap and convenient.
Anna: I'm in!
George: So, let's start digging and we'll talk about it l8r?
Mark: SLAP
Julia: Ok. But maybe let's divide ourselves so that we don't check the same websites?
George: Ur right!
Anna: Sure. XOXOXOX
Mark: Let's do this asap!",They are going to do some research on holiday options and discuss them later. They will most likely choose a cheap offer from a tour operator.,"""I don't know what to say to that,"" he said. ""I'm not sure what to think about it. I don't think it's a good thing. I think it is a bad thing.""

He added: ""I think we're going to have to do something about it."""
"Ernest: hey Mike, did you park your car on our street?
Mike: no, took it into garage today
Ernest: ok good
Mike: why?
Ernest: someone just crashed into a red honda looking just like yours
Mike: lol lucky me",Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's.,"""I think it's important for us to do something about it,"" he said.

""It's important that we do something. It's important to us. We need to do it.""

Topics: law-crime-and-justice, crime, australia

First posted"
"Bennett: i'm in town!! let's meet!!!
Cynthia: YES! i'd love that
Bennett: our usual place?
Cynthia: no, actually, i'd like us to go to this new bistro i discovered
Bennett: i'm intrigued, what's so special about it?
Cynthia: it's super hipster, super cool
Cynthia: people bring their dogs and everything
Bennett: ok, as long as it's hygienic i'm fine
Cynthia: it's clean cool and their food is delicious
Bennett: ok, i can't wait",Cynthia and Bennett will go to a new bistro she discovered.,"""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do.""

He added: ""It's important to us to make sure that we're doing things that are right for our community. And I think that is what we"
"Piper: When is the payment expected?
Bryan: I have asked my manager to send the payment
Piper: When would he send it to me?
Bryan: He will send you tonight
Piper: I would be waiting
Bryan: Sure, Client liked your work
Piper: Hope to work with you long term",Piper will get paid tonight. Client liked Piper's work and wants to work with her on a long-term basis.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to get out there and do what I can.""

He said he"
